Row,DCP,CL,TD_P,TD_U,LSR
32,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.5130406602943915,-1.794078730292442
33,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.7360923832225619,-0.3326014891008108
34,0.5233852206159496,1.6890438040549935,-1.7902141831471818,-1.1328228759115073,-1.788405805718015
35,0.6077561387794164,1.6890438040549935,-1.7902141831471818,-2.407222681913725,-1.6740571166002238
36,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.7066321691279334,-1.5608800940563055
37,1.1057222650610794,1.6890438040549935,-1.7902141831471818,-1.8875185216494001,-1.794078730292442
38,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-2.581296482078889,-1.6442982952985805
39,0.7790946185425061,1.6890438040549935,-1.7902141831471818,-1.8963147610121869,-1.794078730292442
40,0.3618678519000804,1.6890438040549935,-1.7902141831471818,-2.0681291580330163,-1.6376002195217731
41,-0.1957560348805559,1.6890438040549935,-1.7902141831471818,-1.5129882844451845,-1.517896293658474
42,0.7879167713653946,1.6890438040549935,-1.7902141831471818,-2.417675243190051,-1.6796916351507134
43,0.9504666869896169,1.6890438040549935,-1.7902141831471818,-1.8871145117509713,-1.551351937050729
44,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3228681441378807,-1.5646072351757294
45,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-2.073646660586111,-1.5361790296134714
46,3.4196933630857766,1.6890438040549935,0.4294980693058352,0.5334115577370449,0.7938901292790128
47,3.4196933630857766,1.6890438040549935,0.6085353858765664,1.2185624625346843,0.7470824071879876
48,3.4196933630857766,1.6890438040549935,0.8103576276543064,0.7542368930219246,0.912362292101827
49,3.4196933630857766,1.6890438040549935,-0.25814864754625877,0.970956832618029,0.7533670325457863
50,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.327968746085527,-1.6577019292334025
51,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.8917541771659987,-0.6678539026969622
52,0.2520196232437587,1.6890438040549935,-1.7902141831471818,-1.884899457346174,-1.6172997994973348
53,3.4196933630857766,1.6890438040549935,-0.2862149190759358,0.5297636974948203,0.250028811957614
54,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.32029767078844745,-1.794078730292442
55,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-1.3209894259828292,0.6488724752120539
56,3.4196933630857766,1.6890438040549935,0.9088773903358861,-0.1227962006028354,0.778976239771542
57,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.5417512805236283,0.4323317174122029
58,-2.0122074464299917,1.6890438040549935,-1.7902141831471818,-0.7488134997586732,-1.794078730292442
59,3.4196933630857766,1.6890438040549935,0.6840418499035579,0.10882077090792379,0.8719117627150272
