instances,feature_DCP,feature_TD_P,feature_CL,algo_bagging,algo_logistic_regression,algo_random_forest,algo_svc_linear
57,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.014950724988503125,0.08360656625030745,0.025051514945479875,0.424124804158156
58,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.030359615242048967,0.0005322377248469684,0.012629877004002702,0.10452291836103217
59,0.9663481268687343,1.0,0.9664390360284906,3.6495796431804917,1.4017601525172694,3.5592215655835804,1.3371398961408643
60,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.013663241797034207,0.06610695997532665,0.006603994313763099,0.37432192183772506
61,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.013080564066750611,0.09354316890805235,0.006171628333396203,0.461540578602412
62,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.012144937777793192,0.3593002526176083,0.00881029021343528,0.29214609190724217
63,0.9663481268687343,1.0,0.966430041147344,0.23457587296494056,1.0662022503829212,0.22504760347042643,1.035990913432356
64,0.03194888178913735,0.5,0.05262787124785495,0.03727187739309655,0.01685662769043692,0.008071779691030111,0.3958133618272938
65,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.011144090636570084,0.19594353199769016,0.014485802922049509,0.6715647548153629
66,0.9663481268687343,1.0,0.05262787166251959,3.752555424110587,1.7982177953548408,3.7927057332497833,1.1610362143576778
67,0.9663481268687343,1.0,0.9664390273171488,3.6753535763265734,1.758848187498117,3.8396323386943507,1.4645641860089647
68,0.9663481268687343,1.0,0.9664390412243193,3.79625378103141,2.185957239613278,3.891762304716136,1.3238459859859648
69,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.012124809812010601,0.09454719153724063,0.006223861144955414,0.5150176665645512
70,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.011144090636570084,0.4700013828862662,0.006651494983979551,0.8479645364421038
71,0.9663481268687343,1.0,0.9664390377713588,3.831004629144243,1.6613752646153768,3.6425371221347933,1.68825811146271
72,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.05226399604916494,0.030966706999186522,0.013564280895390031,0.4226291928288595
73,0.01619572708476913,0.16666666666666666,0.05262787124785495,0.33806496413754417,0.005051314737239836,0.2336361027956317,0.26498003265558795
74,0.03231939163498099,0.3333333333333333,0.05262787124785495,0.012124809812010601,0.2786101643181079,0.00703627130373203,0.7137659101418732
